tiempo;Costo;PrecioOfertaProm;NroTipoOfertas;Marca;CantOfertas;MaxDescuento%;minDescuento%;FactordeDescuentos;FlagCampana;TieneUbicacionEspecifica;UnidadesDemandas
01/01/2005;45.08;19.9;1;B;1;0.585294118;0;0;0;0;2032
02/01/2005;24.56;69.9;1;A;1;0.499285714;0;0;0;0;603
03/01/2005;104.01;41.9;1;D;1;0.487209302;0;0;0;0;10819
04/01/2005;59.23;33.9;1;B;1;0.498529412;0;0;0;0;3508
05/01/2005;24.74;85;1;A;1;0.5;0;0;0;0;612
06/01/2005;22.65;71.9;1;A;1;0.513571429;0;0;0;0;513
07/01/2005;57.13;14.2;2;B;1;0.582758621;0.396551724;0.231093936;0;0;3264
08/01/2005;157.80;54.9;2;A;1;0.607826087;0.346956522;0.210889225;0;0;24900
09/01/2005;11.49;52.9;1;A;1;0.645121951;0;0;0;0;132
10/01/2005;83.92;33.4;2;C;1;0.598571429;0.355714286;0.212920408;0;0;7042
11/01/2005;10.05;46.9;1;A;1;0.558333333;0;0;0;0;101
12/01/2005;77.18;51.4;2;C;1;0.546956522;0.346956522;0.189770132;0;0;5957
13/01/2005;46.75;17;2;B;2;0.651724138;0;0;0;0;2186
14/01/2005;91.84;36.9;1;C;1;0.527142857;0;0;0;0;8434
15/01/2005;8.06;119;1;A;1;0.71686747;0;0;0;0;65
16/01/2005;30.33;54.9;1;A;1;0.653571429;0;0;0;0;920
17/01/2005;31.14;74.9;1;A;1;0.680909091;0;0;0;0;970
18/01/2005;21.91;86.45;2;A;1;0.696202532;0.398101266;0.277159109;0;0;480
19/01/2005;35.31;22.9;1;B;1;0.487234043;0;0;0;0;1247
20/01/2005;23.92;85;1;A;1;0.5;0;0;0;0;572
21/01/2005;81.52;36.9;1;C;1;0.46125;0;0;0;0;6645
22/01/2005;37.78;36.9;1;B;1;0.636206897;0;0;0;0;1427
23/01/2005;51.78;39.9;2;B;1;0.665333333;0.398666667;0.265246222;0;0;2681
24/01/2005;20.66;47.9;1;A;1;0.638666667;0;0;0;0;427
25/01/2005;70.70;37.9;1;B;1;0.653448276;0;0;0;0;4998
26/01/2005;51.49;76.95;2;B;1;0.707142857;0.392142857;0.27730102;0;0;2651
27/01/2005;12.49;114;1;A;1;0.686746988;0;0;0;0;156
28/01/2005;9.38;149;1;A;1;0.784210526;0;0;0;0;88
29/01/2005;103.96;62.9;2;D;1;0.649166667;0.399166667;0.259125694;0;0;10807
30/01/2005;178.46;31.4;2;B;1;0.648333333;0.398333333;0.258252778;0;0;31849
31/01/2005;19.90;21.9;1;A;1;0.663636364;0;0;0;0;396
01/02/2005;88.27;54.9;2;C;1;0.607826087;0.346956522;0.210889225;0;0;7792
02/02/2005;61.79;15.9;1;B;1;0.548275862;0;0;0;0;3818
03/02/2005;43.22;22.9;1;B;1;0.487234043;0;0;0;0;1868
04/02/2005;102.72;26.9;1;D;1;0.455932203;0;0;0;0;10551
05/02/2005;89.95;45;2;C;2;0.64875;0;0;0;0;8091
06/02/2005;106.19;13.9;1;D;1;0.496428571;0;0;0;0;11277
07/02/2005;12.17;84;1;A;1;0.736842105;0;0;0;0;148
08/02/2005;34.66;21.9;1;B;1;0.644117647;0;0;0;0;1201
09/02/2005;27.9;85.4;2;A;2;0.510795455;0;0;0;0;780
10/02/2005;185.68;23.9;2;B;1;0.65;0.389130435;0.252934783;0;0;34477
11/02/2005;39.84;49.9;1;B;1;0.665333333;0;0;0;0;1587
12/02/2005;25.20;49.9;1;A;1;0.63164557;0;0;0;0;635
13/02/2005;32.03;63.95;2;B;1;0.700854701;0.392307692;0.27495069;0;0;1026
14/02/2005;23.28;62.9;1;A;1;0.546956522;0;0;0;0;542
15/02/2005;100.07;29.9;1;D;1;0.46;0;0;0;0;10014
16/02/2005;74.53;54.9;1;C;1;0.499090909;0;0;0;0;5554
17/02/2005;23.7;31.9;1;A;1;0.55;0;0;0;0;563
18/02/2005;26.50;88.45;2;A;1;0.643678161;0.372988506;0.240084555;0;0;702
19/02/2005;39.97;23.95;1;B;1;0.498958333;0;0;0;0;1598
20/02/2005;7.9;129.9;1;A;1;0.721666667;0;0;0;0;63
21/02/2005;109.47;28.9;1;D;1;0.498275862;0;0;0;0;11984
22/02/2005;53.87;33.95;1;B;1;0.499264706;0;0;0;0;2902
23/02/2005;14.56;72.9;1;A;1;0.502758621;0;0;0;0;212
24/02/2005;34.87;39.9;1;B;1;0.665;0;0;0;0;1216
25/02/2005;79.96;34.4;2;C;1;0.65;0.392424242;0.255075758;0;0;6393
26/02/2005;23.8;47.9;1;A;1;0.606329114;0;0;0;0;566
27/02/2005;4.47;125;1;A;1;0.702247191;0;0;0;0;20
28/02/2005;125.63;62;2;D;1;0.649166667;0.388583333;0.252255347;0;0;15784
01/03/2005;18.97;47.9;1;A;1;0.614102564;0;0;0;0;360
02/03/2005;17.52;46.9;1;A;1;0.651388889;0;0;0;0;307
03/03/2005;11.75;53.9;1;A;1;0.64939759;0;0;0;0;138
04/03/2005;25.73;67.9;1;A;1;0.652884615;0;0;0;0;662
05/03/2005;6.32;119;1;A;1;0.7;0;0;0;0;40
06/03/2005;42.38;54.9;1;B;2;0.645882353;0;0;0;0;1796
07/03/2005;69.27;14.9;1;B;1;0.513793103;0;0;0;0;4799
08/03/2005;19.49;49.9;1;A;1;0.712857143;0;0;0;0;380
09/03/2005;20.64;53.9;1;A;1;0.64939759;0;0;0;0;426
